,sentiment,content,label,stop_words
1,sadness,layin bed headache ughhhh waitin call,0,3
2,sadness,funeral ceremony gloomy friday,0,0
3,enthusiasm,want hang friend soon,4,3
4,neutral,want trade someone ha houston ticket one,3,7
5,worry,pinging go prom bc bf like friend,1,5
6,sadness,sleep im thinking old friend want married damn amp want scandalous,0,11
7,worry,hmmm,1,2
8,sadness,charlene love miss,0,2
9,sadness,sorry least friday,0,3
10,neutral,cant fall asleep,3,0
11,worry,choked retainer,1,2
12,sadness,ugh beat stupid song get next rude,0,4
13,sadness,watch hill london realise tourture week week late watch itonlinelol,0,11
14,surprise,got news,4,1
15,sadness,storm electricity gone,0,4
16,love,agreed,6,0
17,sadness,sleepy even late fail,0,7
18,worry,lady gaga tweeted impressed video leaking know,1,8
19,sadness,convinced always wanted signal give damn think lost another friend,0,9
20,worry,oh bad hope get better sleep issue lately,1,5
21,fun,wondering awake writing new song plotting evil secret plot muahahaha oh damn secret anymore,4,6
22,neutral,topic map talk balisage markup conference program online via topicmaps,3,3
23,worry,ate something know keep telling thing food,1,7
24,sadness,tired think definitely going get ear infection going bed quot early quot,0,7
25,worry,way home deal underage girl drinking gin da bus talking bout keggers damn feel old,1,4
26,sadness,sorry people rude isaac get manner know better lewd,0,11
27,worry,damm server still need hit koxpers pa,1,6
28,sadness,fudge b whole paper tired ugh hate school time sleep,0,4
29,worry,hate cancer hate hate hate,1,2
30,hate,annoying start typing computer middle night,2,10
31,neutral,cant sleep,3,0
32,neutral,missed bl bus,3,3
33,neutral,feel strong contraction want go,3,3
34,neutral,socal stoked maybe tomorrow,3,2
35,neutral,screw week,3,3
36,sadness,yeah feel funny cause slept enough woke mum cause wa singing impressed,0,8
37,worry,need skott right,1,2
38,neutral,ha work afternoon,3,1
39,neutral,aw would unfollow would would cry,3,4
40,happiness,mmm much better day far still quite early last day uds,7,3
41,fun,lt gon na first twitter cause amazing lol come canada would anything see perform,4,6
42,worry,picked blackberry middle street crushed,1,11
43,worry,feeling packing hitting sfo around time year think missing something,1,11
45,worry,bed time hope go school tomorrow though feel well right,1,6
46,worry,ahh well wa hoping could learn stuff way work separate thing also,1,9
47,sadness,problem photo twitter amf ca see face,0,6
48,neutral,oh noooo blow tire reaaaally going send batman smoke,3,6
49,neutral,wnna take bath,3,0
50,neutral,chocolate milk much better straw lack said straw,3,3
51,worry,tired,1,3
53,neutral,time diff wrapped day day stuff havent tweeting talk soon must sleep hr,3,8
54,neutral,way damn suck ok,3,4
55,worry,suck able take day work money take trip sad,1,9
56,enthusiasm,bed sorta today wa good sara ha strep thought angelina doe shared water told prob get,4,7
57,neutral,recession hotel restructuring account done add bit pressure short term cope,3,8
58,neutral,got dibs sulu,3,2
59,sadness,aww onward upwards yay still sad leave bet,0,3
60,worry,haha poor aby still get sore,1,2
61,sadness,diesel yaris mpg sad available u awesome,0,7
62,sadness,want buy great album unfortunately dont hav enuff fund quot long time noisy quot,0,5
63,sadness,honesty pain blech,0,2
64,sadness,ok passenger one alive dead know til end cry,0,10
65,neutral,home alone much,3,5
66,worry,ia much really happy cook choice single,1,7
67,sadness,fell asleep beach put enough sunscreen lol,0,4
68,worry,think son might flu cause def cleaned stanky puke mess poor pumkpin,1,6
69,happiness,great see oin amp cynthia happy dinner wa great cute little place bad oin got sick afterwards,7,3
70,neutral,cant give bday nudge,3,2
71,worry,woman transfer first impression sexual maternal onto le threatening man weak,1,7
72,neutral,brother bloom wo opening weekend el paso buy brick enjoy watch brother bloom,3,9
73,neutral,say miss plurking,3,0
74,worry,bitten blood cat way rabies bacterin seems shot month never wash cat home hate water,1,8
75,neutral,miss voobys,3,1
76,neutral,neither elp,3,1
77,happiness,dude favorite sandwich place ever ummm take picture,7,5
78,worry,sad shin ae got married alex,1,6
79,worry,sure tweet back news abuzz tr knight leaving quot confirmed quot today muy triste,1,7
80,sadness,ohh thursday exam day wednesday,0,4
81,neutral,wa mix dentist appt afternoon rescheduled tomorrow,3,9
82,sadness,wa thinking excited guy move realized sad see go,0,9
83,worry,goooood mooorning people sun definitly spring first spring hail storm car ha dimple,1,7
84,sadness,love sakey usb stick gb australia,0,6
85,worry,fresh prince sleepy sleep nightly routine got ta go dmv early tmrw,1,3
86,hate,dammit hulu desktop ha totally screwed ability talk particular port one dev server ca watch code,2,8
87,worry,jealous mom talking want see twittering making miss,1,9
88,worry,ca sleep keep thinking puppy played today,1,4
89,worry,suppposed sleep got much amp got one part song stuck head quot jerk iknow quot blaahh,1,12
90,neutral,going sweetheart,3,2
91,neutral,freaking difficult get system wide spellchecker shit settle office suite one stupid unhelpful window,3,9
92,worry,last one month due summer strawberry availble chennai market,1,5
93,neutral,work got ta go bed soon,3,2
94,love,correct adore plucked put arm cuz wa cryin better hahaha,6,9
95,sadness,hiii im ipod cant fall asleep,0,3
96,sadness,dont wan na work tomorrow get paid,0,1
97,sadness,feel sad coz wasnt able play guy,0,3
98,neutral,princecharming,3,0
99,hate,cayogial wanted come bz summer sure anymore teacher life summer suck,2,6
100,worry,first ever dropped call mobile call le charged data even though data pack,1,7
101,hate,win sigh rakeem,2,1
102,neutral,oh time real,3,3
103,sadness,darn allergy like time year never used problem either,0,7
104,worry,oh one minute late oh well,1,2
105,hate,damn suck,2,1
106,sadness,wanted come bz summer sure anymore teacher life summer suck,0,6
107,hate,website gave virus opened window kept popping,2,6
108,worry,ahh big scary bug flying around room,1,1
109,sadness,wish knew put stole heart never gave back occasionally like like look,0,11
110,worry,nasty cough cant sick huge weekend ahead,1,7
111,neutral,wa stone cold crazy,3,1
112,boredom,tired,3,2
113,neutral,shift time bbye biochem waaaaahhhhhh,3,0
114,neutral,sure cum play workin til midnight,3,5
115,neutral,second wish rained,3,5
116,sadness,early happy day birth case make tired therapy today taking medicine misshu love ya,0,8
117,neutral,damn eric anyone else need hair played,3,10
118,neutral,feel deflated ugh dog,3,3
119,sadness,allergy suck duck nut lt gt,0,0
120,neutral,well almost wa good day guess retry tomorrow,3,2
121,hate,waraku tasteless expensive portion little waraku,2,4
122,love,sound good appreciate suggestion week still offline time ask refund,6,7
123,worry,died wait magic jack read,1,5
124,hate,youstinkatrespondingtotexts,2,0
125,sadness,wonder karma point turned,0,3
126,happiness,need pack cali cali waittt thinking glass wine order celebrate weekend vaca still work morrow tho,7,8
127,sadness,miserable feel like im gona cry sux,0,1
128,neutral,well ran beer left sure eta waiting waiting waiting bleh gon na long nite methinks,3,7
129,worry,nose stud fell ca find look like head amsterdam today get new one,1,8
130,neutral,claire love show got office radio,3,4
131,love,pat philly love mmm cheesesteak miss boyfriend love vacation,6,6
132,sadness,sigh going bed feel right anymore,0,4
