,text,label,stop_words
0,didnt feel humiliated,0,1
1,go feeling hopeless damned hopeful around someone care awake,0,10
2,im grabbing minute post feel greedy wrong,3,3
3,ever feeling nostalgic fireplace know still property,2,9
4,feeling grouchy,3,2
5,ive feeling little burdened lately wasnt sure,0,5
6,ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,5,7
7,feel confused life teenager jaded year old man,4,5
8,petronas year feel petronas performed well made huge profit,1,9
9,feel romantic,2,2
10,feel like make suffering seeing mean something,0,5
11,feel running divine experience expect type spiritual encounter,1,11
12,think easiest time year feel dissatisfied,3,6
13,feel low energy thirsty,0,3
14,immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,1,14
15,feel reassured anxiety side,1,6
16,didnt really feel embarrassed,0,2
17,feel pretty pathetic time,0,4
18,started feeling sentimental doll child began collection vintage barbie doll sixty,0,10
19,feel compromised skeptical value every unit work put,4,6
20,feel irritated rejected without anyone anything saying anything,3,4
21,feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,4,17
22,feeling amused delighted,1,6
23,able help chai lifeline support encouragement great feeling glad able help,1,13
24,already feel like fucked though dont usually eat morning,3,7
25,still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,0,21
26,feel inhibited someone el kitchen like im painting someone el picture,0,4
27,become overwhelmed feel defeated,0,2
28,feel kinda appalled feel like need explain wide lenghth body measure etc pp,3,7
29,feel superior dead chicken grieving child,1,3
30,get giddy feeling elegant perfectly fitted pencil skirt,1,4
31,remember feeling acutely distressed day,4,4
32,seen heard read past couple day left feeling impressed company,5,12
33,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,3,12
34,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,1,14
35,sure would make feel content anything,1,6
36,feeling need creative,1,6
37,however want know something someone causing feel le splendid self step away,1,11
38,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,3,12
39,need need someone need protected feel safe small find season word,1,12
40,plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,1,7
41,already christmas tree got two feeling festive sure spurring get started book,1,13
42,ive worn little concealer day im feeling brave dont want pale perfect,1,14
43,feel strongly passionate jerk decides poke make fun u,1,9
44,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,0,11
45,feeling listless need new thing something different,0,5
46,lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,1,22
47,let go sad feeling want accepted first home mine,2,10
48,boat trip denmark,1,3
49,stopped feeling cold began feeling hot,3,2
50,need feel dough make sure perfect,1,5
51,found feeling little discouraged morning,0,4
52,feel selfish spoiled,3,2
53,stymied little bit wrote feeling unsure might go somewhere story unintended,4,7
54,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,1,7
55,feel know basically like fake realm science fiction,0,6
56,hate living dad roof give excuse asshole providing live think feel need make feel unwelcome possible ill leave,0,16
57,keep feeling pleasantly surprised supportiveness also ease new situation,5,5
58,feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,1,13
59,feel mom graceful warm loving smile rob time nurture heal,1,8
60,feel talk brother law extremely popular one think stiff,1,11
61,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,2,7
62,feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,4,10
63,began several time week feeling tortured hallucination moving people figure sound vibration,4,7
64,nearly finished week detox feel amazing,5,5
65,feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,3,14
66,know pain parent feel enraged child becomes violent,3,4
67,roller coaster emotion supposed feeling something unpleasant coming,0,10
68,suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,2,12
69,feeling brave bought clearly makeup,1,7
70,feeling miserable also proudest mum earth,0,5
71,figure family love u matter around anyone else feel embarrassed michelle go ballistic,0,6
72,necessarily think bomb sex necessary story feel reassured see print journal,1,10
73,feel ovary aching talking like put,0,7
74,feel like much chris mostly took many picture unimportant stuff,0,8
75,im tired book ready finding given unsuitable image feeling blamed result sit well,0,15
76,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,1,18
77,think feeling one nay important thing,1,7
78,feel completely honored influence young talented fully alive beautiful girl woman,1,5
79,feel angered firey,3,2
80,feel like miserable piece garbage,0,3
81,feel like need make list leanne would appalled thought dont miss anything,3,8
82,drove dannika school feeling little bit rushed greeted turned corner,3,11
83,remember feeling hellip furious shooter,3,4
84,feel happy excited since learned many thing,1,4
85,feel show around show horse people trusting relaxed show horse safe quiet handled frequently,1,7
86,couple thing left make start december done feeling smug,1,10
87,think could make feel realize everything ok,1,8
88,feel worthless time struggling finding work,0,5
89,able lay bed dark feel terrified least,4,14
90,ready meet mom airport feel ever supportive arm around,2,8
91,im feeling bitter today mood strange entire day guess,3,8
92,mum brother passed away involved car accident bringing present passed form five exam flying colour,0,14
93,letting go animosity towards anyone feel wronged,3,8
94,talk dog feel understand word read emotion know supportive decided go home,2,11
95,feel like throwing away shitty piece shit paper,0,3
96,im starting feel wryly amused banal comedy error life turning,1,7
97,find every body beautiful want people feel vital body,1,6
98,hear owner feel victimized association association attorney property manager,0,7
99,say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,3,11
100,wont let child cry feel loving lily little going opportunity lasted short month,2,17
101,alba feel good im fitting,1,3
102,feel excited im feel like ton catching,1,11
103,also know good feel look back see honored word help start,1,9
